Entidad,Quintil,Año,Hombres,Mujeres,%_Hombres_quintil,%_Mujeres_quintil,%_hombres_sexo,%_mujeres_sexo,,,,,,,,,,
Durango,IV,2016,96837,37805,23.4,15.6,71.9,28.1,,,,,,,,,,
Guanajuato,IV,2016,392698,144030,27.5,15.6,73.2,26.8,,,,,,,,,,
Guerrero,IV,2016,113978,50544,14.8,10.9,69.3,30.7,,,,,,,,,,
Hidalgo,IV,2016,150161,51046,21.5,11.9,74.6,25.4,,,,,,,,,,
Jalisco,IV,2016,567501,257508,28.6,18.4,68.8,31.2,,,,,,,,,,
Mexico,IV,2016,1112154,359135,26.8,14.1,75.6,24.4,,,,,,,,,,
Michoacan de Ocampo,IV,2016,225469,70533,20.7,11.0,76.2,23.8,,,,,,,,,,
Morelos,IV,2016,108018,36500,23.6,11.7,74.7,25.3,,,,,,,,,,
Nayarit,IV,2016,61878,25252,21.4,13.3,71.0,29.0,,,,,,,,,,
Nuevo Leon,IV,2016,411176,227908,30.9,29.6,64.3,35.7,,,,,,,,,,
Oaxaca,IV,2016,141729,55573,15.9,11.8,71.8,28.2,,,,,,,,,,
Puebla,IV,2016,307014,117042,20.8,12.4,72.4,27.6,,,,,,,,,,
Queretaro de Arteaga,IV,2016,144100,60936,28.7,18.4,70.3,29.7,,,,,,,,,,
Quintana Roo,IV,2016,125791,56060,28.8,21.5,69.2,30.8,,,,,,,,,,
San Luis Potosi,IV,2016,131501,64082,19.8,15.9,67.2,32.8,,,,,,,,,,
Sinaloa,IV,2016,190179,71281,26.0,16.8,72.7,27.3,,,,,,,,,,
Sonora,IV,2016,191614,89076,25.9,19.9,68.3,31.7,,,,,,,,,,
Tabasco,IV,2016,118043,40857,20.5,13.7,74.3,25.7,,,,,,,,,,
Tamaulipas,IV,2016,220505,110393,25.4,20.0,66.6,33.4,,,,,,,,,,
Tlaxcala,IV,2016,68776,20677,21.7,10.7,76.9,23.1,,,,,,,,,,
Veracruz-Llave,IV,2016,324275,98081,17.3,9.6,76.8,23.2,,,,,,,,,,
Yucatan,IV,2016,134760,41005,24.9,11.6,76.7,23.3,,,,,,,,,,
Zacatecas,IV,2016,64227,20499,18.1,10.6,75.8,24.2,,,,,,,,,,
Nacional,V,2016,7707437,3531519,26.2,19.2,68.6,31.4,,,,,,,,,,
Aguascalientes,V,2016,90734,38363,29.5,18.4,70.3,29.7,,,,,,,,,,
Baja California,V,2016,396797,161532,42.4,28.3,71.1,28.9,,,,,,,,,,
Baja California Sur,V,2016,88459,33805,42.2,27.5,72.4,27.6,,,,,,,,,,
Campeche,V,2016,57189,25044,26.1,18.9,69.5,30.5,,,,,,,,,,
